Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Year,Month,Day,BR,HZ,RA,TSRA,VCTS,FU,TS,DZ,BCFG,FG+,MIFG,FG,SQ,SN,VCFG,GR,Date
83.5,51.0,67.5,7.0,51.0,56.5,0.0,2.5,0 days 04:48:00.000000000,0 days 18:49:00.000000000,0.0,29.14,29.82,2.2,26.0,9.399999999999999,2007,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-01
59.5,42.5,51.5,-1.5,42.0,47.0,13.5,0.0,0 days 04:47:00.000000000,0 days 18:50:00.000000000,0.0,29.41,30.085,13.15,3.0,13.4,2007,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-02
66.5,47.0,57.0,1.0,40.0,49.0,8.0,0.0,0 days 04:46:00.000000000,0 days 18:51:00.000000000,0.0,29.425,30.12,12.3,6.5,12.55,2007,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-03
72.0,50.0,29.0,2.0,41.5,50.0,36.0,0.0,0 days 04:44:00.000000000,0 days 18:52:00.000000000,0.0025,29.335,30.045,10.25,7.5,10.600000000000001,2007,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-04
66.0,53.5,60.0,2.5,38.5,49.5,5.0,0.0,0 days 04:43:00.000000000,0 days 18:53:00.000000000,0.005,29.43,30.095,11.45,7.0,11.75,2007,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-05
68.0,50.5,59.5,2.0,30.0,46.0,5.5,0.0,0 days 04:42:00.000000000,0 days 18:55:00.000000000,0.0,29.595,30.285,14.100000000000001,10.5,14.75,2007,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-06
83.5,48.5,66.0,5.0,40.0,53.5,0.0,1.0,0 days 04:41:00.000000000,0 days 18:56:00.000000000,0.0025,29.41,30.12,8.55,17.5,10.2,2007,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-07
81.0,57.0,69.0,6.0,57.5,62.5,0.0,4.0,0 days 04:39:00.000000000,0 days 18:57:00.000000000,0.0025,29.325,30.025,2.6,9.5,5.6,2007,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-08
76.5,62.0,69.5,6.5,59.5,63.0,0.0,4.5,0 days 04:38:00.000000000,0 days 18:58:00.000000000,0.075,29.245,29.935000000000002,3.9,8.0,6.050000000000001,2007,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-09
83.5,57.5,70.5,7.0,52.0,60.5,0.0,5.5,0 days 04:37:00.000000000,0 days 18:59:00.000000000,0.0,29.23,29.915,1.35,13.0,4.0,2007,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-10
